Area,Competition,Gender,Category,Season,Matches,Tagged
,,,,2017/2018,16,0%
",División de Honor Juvenil,Male,Youth,2015/2016,""1,687"",0%"
",,,,2016/2017,""1,785"",2%"
",,,,2017/2018,""1,054"",2%"
,,,,2018/2019,32,0%
",,,,2019/2020,""1,460"",0%"
",,,,2020/2021,""1,665"",0%"
",,,,2021/2022,""2,340"",0%"
",,,,2022/2023,""1,757"",0%"
",,,,2023/2024,""1,750"",0%"
,,,,2024/2025,1,0%
,La Liga,Male,Senior,2015/2016,380,100%
,,,,2016/2017,380,100%
,,,,2017/2018,380,100%
Spain,La Liga,Male,Senior,2018/2019,380,100%
,,,,2019/2020,380,100%
,,,,2020/2021,380,100%
,,,,2021/2022,380,100%
,,,,2022/2023,380,100%
,,,,2023/2024,380,100%
,,,,2024/2025,190,100%
,Liga de Campeones Juveni..,Male,Youth,2015/2016,1,0%
,Liga F,Female,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,240,35%
,,,,2018/2019,240,28%
,,,,2019/2020,168,59%
,,,,2020/2021,306,45%
,,,,2021/2022,240,41%
,,,,2022/2023,240,17%
,,,,2023/2024,240,0%
,,,,2024/2025,113,0%
,Primera Division RFEF,Male,Senior,2021/2022,759,95%
,,,,2022/2023,774,99%
,,,,2023/2024,774,99%
,,,,2024/2025,380,99%
,Primera Federación Femenina,Female,Senior,2023/2024,188,73%
,,,,2024/2025,98,69%
",Segunda B,Male,Senior,2015/2016,""1,554"",9%"
",,,,2016/2017,""1,554"",99%"
",,,,2017/2018,""1,554"",100%"
",,,,2018/2019,""1,550"",99%"
",,,,2019/2020,""1,134"",92%"
",,,,2020/2021,""1,304"",93%"
,Segunda División,Male,Senior,2015/2016,468,99%
,,,,2016/2017,468,98%
,,,,2017/2018,468,100%
,,,,2018/2019,461,97%
,,,,2019/2020,468,100%
,,,,2020/2021,468,100%
,,,,2021/2022,468,100%
,,,,2022/2023,468,100%
,,,,2023/2024,468,100%
,,,,2024/2025,241,100%
",Segunda Division RFEF,Male,Senior,2021/2022,""1,547"",88%"
",,,,2022/2023,""1,564"",46%"
",,,,2023/2024,""1,564"",88%"
,,,,2024/2025,810,87%
,Segunda Federación Femenina,Female,Senior,2019/2020,352,0%
,,,,2020/2021,9,0%
Spain,Femenina,Female,Senior,2023/2024,30,50%
,Super Cup,Male,Senior,2015/2016,2,100%
,,,,2016/2017,2,100%
,,,,2017/2018,2,100%
,,,,2018/2019,1,100%
,,,,2019/2020,3,100%
,,,,2020/2021,3,100%
,,,,2021/2022,3,100%
,,,,2022/2023,3,100%
,,,,2023/2024,3,100%
,,,,2024/2025,3,100%
,Supercopa de Catalunya,Male,Senior,2016,1,0%
,,,,2018,1,100%
,,,,2019,1,100%
,Supercopa Femenina,Female,Senior,2019/2020,3,33%
,,,,2020/2021,3,0%
,,,,2021/2022,3,33%
,,,,2022/2023,3,67%
,,,,2023/2024,3,100%
",Tercera Division RFEF,Male,Senior,2015/2016,""6,932"",0%"
",,,,2016/2017,""7,006"",0%"
",,,,2017/2018,""5,101"",0%"
,,,,2018/2019,798,11%
,,,,2019/2020,13,92%
",,,,2020/2021,""4,206"",14%"
,,,,2023/2024,34,79%
,,,,2024/2025,17,100%
,Torcaf U16,Male,Youth,2019,5,0%
,,,,2021,9,100%
,Trofeo Ramon de Carranz..,Male,Senior,2015,3,0%
Sri Lanka,Super League,Male,Senior,2015,128,0%
,,,,2016,100,0%
,,,,2017,136,0%
St. Kitts and Nevis,Premier Division,Male,Senior,2015/2016,144,0%
,,,,2016/2017,143,0%
,,,,2017/2018,50,0%
Sudan,Sudani Premier League,Male,Senior,2016,306,0%
,,,,2017,306,0%
Suriname,Eerste Divisie,Male,Senior,2015/2016,88,0%
,,,,2016/2017,133,0%
,,,,2017/2018,47,0%
,Play-offs 1/2,Male,Senior,2014/2015,2,0%
,Tweede Divisie,Male,Senior,2015/2016,129,0%
,,,,2016/2017,81,0%
,,,,2017/2018,27,0%
Sweden,Allsvenskan,Male,Senior,2016,240,98%
Sweden,Allsvenskan,Male,Senior,2017,240,100%
,,,,2018,240,100%
,,,,2019,240,100%
,,,,2020,240,100%
,,,,2021,240,100%
,,,,2022,240,100%
,,,,2023,240,100%
,,,,2024,240,100%
,Damallsvenskan,Female,Senior,2016,132,0%
,,,,2017,132,82%
,,,,2018,132,95%
,,,,2019,132,91%
,,,,2020,132,98%
,,,,2021,132,100%
,,,,2022,182,100%
,,,,2023,182,100%
,,,,2024,182,100%
",Division 2,Male,Senior,2016,""1,098"",0%"
",,,,2017,""1,098"",0%"
,Elitettan,Female,Senior,2016,182,0%
,,,,2017,182,45%
,,,,2019,182,0%
,,,,2020,182,99%
,,,,2021,182,99%
,,,,2022,182,99%
,,,,2023,182,99%
,,,,2024,182,97%
,Ettan,Male,Senior,2016,364,0%
,,,,2017,364,71%
,,,,2018,484,98%
,,,,2019,480,93%
,,,,2020,482,98%
,,,,2021,480,97%
,,,,2022,480,99%
,,,,2023,480,98%
,,,,2024,480,97%
,Gothia Cup - SEF Trophy U..,Male,Youth,2019,86,0%
,Play-offs 1/2,Male,Senior,2015,2,100%
,,,,2016,2,100%
,,,,2017,2,100%
,,,,2018,2,100%
,,,,2019,2,100%
,,,,2020,2,100%
,,,,2021,2,100%
,,,,2022,2,100%
,,,,2023,2,100%
Sweden,Play-offs 1/2,Male,Senior,2024,2,100%
,Play-offs 2/3,Male,Senior,2015,4,0%
,,,,2016,4,0%
,,,,2017,4,50%
,,,,2018,4,100%
,,,,2019,4,0%
,,,,2020,4,100%
,,,,2021,4,100%
,,,,2022,4,100%
,,,,2023,4,100%
,,,,2024,4,100%
,Super Cup,Male,Senior,2015,1,0%
,Super Cup Women,Female,Senior,2016,1,0%
,Superettan,Male,Senior,2016,240,82%
,,,,2017,240,100%
,,,,2018,240,100%
,,,,2019,240,100%
,,,,2020,240,100%
,,,,2021,240,99%
,,,,2022,240,100%
,,,,2023,240,100%
,,,,2024,240,100%
,Svenska Cupen,Male,Senior,2015/2016,119,1%
,,,,2016/2017,119,28%
,,,,2017/2018,119,60%
,,,,2018/2019,119,50%
,,,,2019/2020,58,95%
,,,,2020/2021,55,100%
,,,,2021/2022,59,100%
,,,,2022/2023,55,98%
,,,,2023/2024,55,100%
,Svenska Cupen Women,Female,Senior,2015/2016,31,0%
,,,,2016/2017,31,3%
,,,,2017/2018,16,0%
,U19 League,Male,Youth,2016,367,0%
,,,,2017,367,0%
,,,,2018,133,17%
,,,,2019,166,0%
,,,,2020,2,0%
,U21 League,Male,Youth,2016,295,0%
,,,,2017,262,0%
,Women's Play-offs 1/2,Female,Senior,2023,2,100%
,,,,2024,2,100%
Switzerland,1. Liga Classic,Male,Senior,2015/2016,558,0%
,,,,2016/2017,558,0%
,,,,2017/2018,406,0%
Switzerland,1. Liga Classic,Male,Senior,2022/2023,218,39%
,,,,2023/2024,732,31%
,,,,2024/2025,369,47%
,1. Liga Promotion,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,240,0%
,,,,2018/2019,240,0%
,,,,2019/2020,134,0%
,,,,2020/2021,176,0%
,,,,2022/2023,290,18%
,,,,2023/2024,306,93%
,,,,2024/2025,159,99%
",2. Liga Interregional,Male,Senior,2015/2016,""1,091"",0%"
",,,,2016/2017,""1,092"",0%"
,,,,2017/2018,792,0%
,,,,2022/2023,29,31%
,Challenge League,Male,Senior,2015/2016,162,20%
,,,,2016/2017,180,64%
,,,,2017/2018,180,100%
,,,,2018/2019,180,100%
,,,,2019/2020,180,100%
,,,,2020/2021,180,98%
,,,,2021/2022,180,100%
,,,,2022/2023,180,100%
,,,,2023/2024,180,100%
,,,,2024/2025,89,100%
,Nationalliga B Women,Female,Senior,2015/2016,118,0%
,,,,2016/2017,118,0%
,,,,2017/2018,90,0%
,Play-offs 1/2,Male,Senior,2018/2019,2,0%
,,,,2019/2020,2,0%
,,,,2020/2021,2,0%
,,,,2021/2022,2,100%
,,,,2022/2023,2,100%
,,,,2023/2024,2,100%
,Play-Offs 2/3,Male,Senior,2022/2023,2,0%
,Schweizer Pokal,Male,Senior,2015/2016,63,2%
,,,,2016/2017,63,24%
,,,,2017/2018,63,35%
,,,,2018/2019,63,52%
,,,,2019/2020,63,56%
,,,,2020/2021,35,51%
,,,,2021/2022,38,82%
,,,,2022/2023,39,69%
,,,,2023/2024,27,100%
,,,,2024/2025,8,100%
Switzerland,Schweizer Pokal Frauen,Female,Senior,2015/2016,62,0%
,,,,2016/2017,62,0%
,,,,2017/2018,56,0%
,Super League,Male,Senior,2015/2016,180,100%
,,,,2016/2017,180,100%
,,,,2017/2018,180,100%
,,,,2018/2019,180,100%
,,,,2019/2020,180,100%
,,,,2020/2021,180,100%
,,,,2021/2022,180,100%
,,,,2022/2023,180,100%
,,,,2023/2024,228,100%
,,,,2024/2025,108,100%
,U15 Cup,Male,Youth,2022/2023,30,7%
,,,,2023/2024,36,31%
,,,,2024/2025,32,47%
,U15 Elite,Male,Youth,2022/2023,180,21%
,,,,2023/2024,180,55%
,,,,2024/2025,94,73%
,U15 Niveaux Matches,Male,Youth,2023/2024,20,40%
,U15 Regional,Male,Youth,2022/2023,220,2%
,,,,2023/2024,220,12%
,,,,2024/2025,100,33%
,U16 Cup,Male,Youth,2022/2023,15,20%
,,,,2023/2024,26,42%
,,,,2024/2025,23,61%
,U16 Elite,Male,Youth,2019/2020,2,0%
,,,,2020/2021,4,0%
,,,,2022/2023,215,40%
,,,,2023/2024,215,89%
,,,,2024/2025,107,91%
,U16 Group B,Male,Youth,2022/2023,135,6%
,,,,2023/2024,159,38%
,,,,2024/2025,77,57%
,U17 Cup,Male,Youth,2023/2024,13,77%
,,,,2024/2025,10,90%
,U17 Elite,Male,Youth,2023/2024,214,88%
,,,,2024/2025,109,97%
,U18 Cup,Male,Youth,2022/2023,26,4%
,U18 Group A,Male,Youth,2015/2016,162,0%
,,,,2016/2017,162,0%
,,,,2017/2018,91,0%
,,,,2019/2020,1,0%
,,,,2020/2021,6,0%
,,,,2022/2023,215,40%
,U18 Group B,Male,Youth,2022/2023,156,31%
Switzerland,U18 Group B,Male,Youth,2023/2024,138,66%
,,,,2024/2025,62,66%
,U19 Cup,Male,Youth,2023/2024,23,70%
,,,,2024/2025,20,60%
,U19 Elite,Male,Youth,2023/2024,215,89%
,,,,2024/2025,112,96%
,Women's Play-offs 1/2,Female,Senior,2015/2016,12,0%
,,,,2016/2017,15,0%
,,,,2022/2023,12,100%
,,,,2023/2024,12,100%
,Women's Super League,Female,Senior,2015/2016,118,0%
,,,,2016/2017,105,0%
,,,,2017/2018,95,0%
,,,,2018/2019,30,0%
,,,,2019/2020,64,0%
,,,,2022/2023,107,48%
,,,,2023/2024,107,99%
,,,,2024/2025,62,100%
Syria,Premier League,Male,Senior,2015/2016,177,0%
,,,,2016/2017,240,0%
,,,,2017/2018,55,0%
Tahiti,Ligue 1,Male,Senior,2015/2016,84,0%
,,,,2016/2017,138,0%
,,,,2017/2018,60,0%
Tajikistan,Vysshaya Liga,Male,Senior,2016,90,0%
,,,,2017,84,0%
,,,,2020,90,0%
,,,,2021,134,0%
Tanzania,Ligi kuu Bara,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,141,0%
,,,,2023/2024,57,25%
,,,,2024/2025,32,0%
Thailand,FA Cup,Male,Senior,2016,58,0%
,,,,2017,73,0%
,,,,2021/2022,46,80%
,,,,2022/2023,65,83%
,,,,2023/2024,56,95%
,,,,2024/2025,33,27%
,League Cup,Male,Senior,2016,105,0%
,,,,2017,70,0%
,,,,2021,31,100%
,,,,2022/2023,38,84%
,,,,2023/2024,31,97%
,,,,2024/2025,15,93%
,Thai Champions Cup,Male,Senior,2021/2022,1,100%
Thailand,Thai Champions Cup,Male,Senior,2022/2023,1,0%
,,,,2023/2024,1,100%
,Thai League,Male,Senior,2016,277,46%
,,,,2017,306,21%
,,,,2018,72,21%
,,,,2019,240,97%
,,,,2020,240,100%
,,,,2021/2022,240,100%
,,,,2022/2023,240,100%
,,,,2023/2024,240,100%
,,,,2024/2025,135,99%
,Thai League 2,Male,Senior,2016,196,0%
,,,,2017,272,0%
,,,,2019,306,80%
,,,,2020,312,89%
,,,,2021/2022,312,93%
,,,,2022/2023,312,100%
,,,,2023/2024,312,97%
,,,,2024/2025,169,96%
,Thai League 3,Male,Senior,2017,396,0%
",Thai League 4,Male,Senior,2016,""1,036"",0%"
Togo,Championnat National,Male,Senior,2016/2017,182,0%
,,,,2017/2018,17,0%
Trinidad and Tobago,Pro Bowl,Male,Senior,2017,9,0%
,T & T Pro League,Male,Senior,2015/2016,135,0%
,,,,2016/2017,90,0%
,,,,2017,90,0%
Tunisia,Cup,Male,Senior,2015/2016,55,0%
,,,,2016/2017,56,0%
,,,,2017/2018,54,0%
,,,,2018/2019,31,0%
,,,,2019/2020,31,23%
,,,,2020/2021,31,0%
,,,,2021/2022,30,0%
,,,,2022/2023,31,0%
,,,,2023/2024,31,0%
,Ligue 1,Male,Senior,2015/2016,240,1%
,,,,2016/2017,198,6%
,,,,2017/2018,182,29%
,,,,2018/2019,182,55%
,,,,2019/2020,182,51%
,,,,2020/2021,182,49%
,,,,2021/2022,157,74%
,,,,2022/2023,198,90%
,,,,2023/2024,171,89%
,,,,2024/2025,116,64%
Tunisia,Ligue 2,Male,Senior,2015/2016,217,0%
,,,,2016/2017,210,0%
,,,,2017/2018,90,0%
,Play-offs 1/2,Male,Senior,2016/2017,1,0%
Türkiye,1. Lig,Male,Senior,2015/2016,311,97%
,,,,2016/2017,311,80%
,,,,2017/2018,311,100%
,,,,2018/2019,311,100%
,,,,2019/2020,311,99%
,,,,2020/2021,311,99%
,,,,2021/2022,347,100%
,,,,2022/2023,329,96%
,,,,2023/2024,311,98%
,,,,2024/2025,189,99%
,2. Lig,Male,Senior,2015/2016,625,0%
,,,,2016/2017,625,8%
,,,,2017/2018,625,0%
",3. Lig,Male,Senior,2015/2016,""1,041"",0%"
,,,,2016/2017,969,5%
,,,,2017/2018,754,0%
,Bayanlar Ligi Women,Female,Senior,2015/2016,90,0%
,,,,2016/2017,130,0%
,,,,2017/2018,36,0%
",Bölgesel Amatör Lig,Male,Senior,2016/2017,""1,883"",0%"
",,,,2017/2018,""1,297"",0%"
,Coca-Cola U17 Regional D..,Male,Youth,2015/2016,53,0%
,Cup,Male,Senior,2015/2016,244,2%
,,,,2016/2017,243,58%
,,,,2017/2018,188,39%
,,,,2018/2019,146,47%
,,,,2019/2020,142,50%
,,,,2020/2021,99,45%
,,,,2021/2022,116,47%
,,,,2022/2023,66,88%
,,,,2023/2024,57,0%
,,,,2024/2025,29,0%
,Kadinlar 2. Ligi,Female,Senior,2016/2017,102,0%
,,,,2017/2018,49,0%
,Super Cup,Male,Senior,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
Türkiye,Super Cup,Male,Senior,2023/2024,1,0%
,,,,2024/2025,1,100%
,Süper Lig,Male,Senior,2015/2016,306,99%
,,,,2016/2017,306,100%
,,,,2017/2018,306,100%
,,,,2018/2019,306,100%
,,,,2019/2020,306,100%
,,,,2020/2021,420,100%
,,,,2021/2022,380,100%
,,,,2022/2023,340,92%
,,,,2023/2024,380,100%
,,,,2024/2025,171,100%
,U14 Elit Ligi,Male,Youth,2017/2018,6,0%
,U15 Elit Ligi,Male,Youth,2015/2016,1,0%
,,,,2017/2018,9,0%
,U16 Elit Ligi,Male,Youth,2015/2016,7,0%
,,,,2016/2017,21,0%
,,,,2017/2018,3,0%
,,,,2018/2019,4,0%
,U17 Süper Lig,Male,Youth,2015/2016,91,0%
,,,,2016/2017,25,0%
,,,,2017/2018,13,0%
,,,,2018/2019,10,0%
,U19 1. Lig,Male,Youth,2017/2018,186,0%
,U19 Elit A,Male,Youth,2015/2016,306,4%
",,,,2016/2017,""1,262"",0%"
,,,,2017/2018,202,3%
,,,,2018/2019,10,10%
,,,,2019/2020,12,0%
,U19 Elit Ligi 1. Lig,Male,Youth,2015/2016,52,0%
,U21 1. Lig,Male,Youth,2015/2016,50,0%
,,,,2017/2018,167,0%
,U21 Super Cup,Male,Youth,2016/2017,1,0%
,U21 Süper Lig,Male,Youth,2015/2016,306,3%
,,,,2016/2017,306,11%
,,,,2017/2018,306,14%
,,,,2018/2019,306,17%
Turkmenistan,Ýokary Liga,Male,Senior,2016,180,0%
,,,,2017,139,0%
Turks and Caicos Islands,Premier League,Male,Senior,2016,42,0%
,,,,2017,41,0%
Uganda,Premier League,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,110,0%
,,,,2022/2023,210,0%
,,,,2023/2024,225,0%
Uganda,Premier League,Male,Senior,2024/2025,120,0%
Ukraine,Cup,Male,Senior,2015/2016,58,5%
,,,,2016/2017,44,14%
,,,,2017/2018,52,88%
,,,,2018/2019,48,63%
,,,,2019/2020,47,87%
,,,,2020/2021,54,85%
,,,,2021/2022,57,88%
,,,,2023/2024,48,92%
,,,,2024/2025,41,100%
,Druha Liga,Male,Senior,2015/2016,182,2%
,,,,2016/2017,272,3%
,,,,2017/2018,333,71%
,,,,2018/2019,271,74%
,,,,2019/2020,219,94%
,,,,2020/2021,298,96%
,,,,2021/2022,292,97%
,,,,2022/2023,84,96%
,,,,2023/2024,173,99%
,,,,2024/2025,120,99%
,Kremin Cup U15,Male,Youth,2016,24,0%
,Kremin Cup U16,Male,Youth,2017,15,0%
,Kremin Cup U17,Male,Youth,2017,15,0%
,Persha Liga,Male,Senior,2015/2016,240,7%
,,,,2016/2017,306,48%
,,,,2017/2018,306,91%
,,,,2018/2019,204,98%
,,,,2019/2020,239,99%
,,,,2020/2021,239,100%
,,,,2021/2022,156,99%
,,,,2022/2023,176,98%
,,,,2023/2024,279,100%
,,,,2024/2025,128,99%
,Play-offs 1/2,Male,Senior,2017/2018,4,75%
,,,,2018/2019,4,100%
,,,,2022/2023,4,100%
,,,,2023/2024,7,100%
,Play-offs 2/3,Male,Senior,2014/2015,2,0%
,,,,2016/2017,2,0%
,,,,2018/2019,4,0%
,,,,2019/2020,4,0%
,,,,2022/2023,2,100%
,,,,2023/2024,4,100%
,Premier League Women,Female,Senior,2016,42,0%
,,,,2017,36,0%
,,,,2017/2018,45,0%
Ukraine,Premier League Women,Female,Senior,2018/2019,89,0%
,,,,2019/2020,66,5%
,,,,2020/2021,87,83%
,,,,2021/2022,55,89%
,,,,2022/2023,132,92%
,,,,2023/2024,126,100%
,,,,2024/2025,55,100%
,Super Cup,Male,Senior,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,U14 Elite League,Male,Youth,2016,15,0%
,,,,2017,16,0%
,,,,2019/2020,8,13%
,,,,2020/2021,48,75%
,,,,2021/2022,120,93%
,U14 Vyshcha League,Male,Youth,2020/2021,15,93%
,,,,2021/2022,20,75%
,U15 Elite League,Male,Youth,2015/2016,8,0%
,,,,2016/2017,13,0%
,,,,2019/2020,9,100%
,,,,2020/2021,60,77%
,,,,2021/2022,120,88%
,U15 Vyshcha League,Male,Youth,2020/2021,15,100%
,,,,2021/2022,19,63%
,U16 Elite League,Male,Youth,2015/2016,16,63%
,,,,2016/2017,11,0%
,,,,2019/2020,8,63%
,,,,2020/2021,46,78%
,,,,2021/2022,120,96%
,U16 Vyshcha League,Male,Youth,2020/2021,16,94%
,,,,2021/2022,20,75%
,U17 Elite League,Male,Youth,2015/2016,217,9%
,,,,2016/2017,12,0%
,,,,2019/2020,8,75%
,,,,2020/2021,60,70%
,,,,2021/2022,119,96%
,U17 Vyshcha League,Male,Youth,2020/2021,14,100%
,,,,2021/2022,20,75%
,U19 League,Male,Youth,2015/2016,240,0%
,,,,2016/2017,182,3%
,,,,2017/2018,182,0%
,,,,2018/2019,170,70%
Ukraine,U19 League,Male,Youth,2019/2020,102,91%
,,,,2020/2021,182,92%
,,,,2021/2022,142,99%
,,,,2022/2023,240,97%
,,,,2023/2024,239,98%
,,,,2024/2025,135,97%
,U19 Persha Liga,Male,Youth,2016/2017,93,0%
,,,,2020/2021,155,26%
,U21 League,Male,Youth,2015/2016,182,3%
,,,,2016/2017,192,27%
,,,,2017/2018,192,74%
,,,,2018/2019,181,93%
,,,,2019/2020,115,97%
,,,,2020/2021,182,97%
,VBET League,Male,Senior,2015/2016,182,94%
,,,,2016/2017,191,100%
,,,,2017/2018,192,99%
,,,,2018/2019,192,100%
,,,,2019/2020,187,100%
,,,,2020/2021,182,99%
,,,,2021/2022,143,100%
,,,,2022/2023,240,100%
,,,,2023/2024,240,100%
,,,,2024/2025,136,99%
,Women's Cup,Female,Senior,2015,5,0%
,,,,2016,3,0%
,,,,2023/2024,3,100%
United Arab Emirates,Arabian Gulf Reserve Lea..,Male,Senior,2017/2018,22,0%
,Division 1,Male,Senior,2015/2016,72,0%
,,,,2016/2017,132,0%
,,,,2017/2018,98,0%
,,,,2018/2019,90,0%
,,,,2019/2020,85,0%
,,,,2020/2021,110,0%
,,,,2021/2022,210,0%
,,,,2022/2023,272,0%
,,,,2023/2024,53,55%
,,,,2024/2025,22,68%
,FA Cup,Male,Senior,2015/2016,36,0%
,League Cup,Male,Senior,2015/2016,45,0%
,,,,2016/2017,45,38%
,,,,2017/2018,43,42%
,,,,2018/2019,49,0%
,,,,2019/2020,49,98%
,,,,2020/2021,25,100%
,,,,2021/2022,47,98%
United Arab Emirates,League Cup,Male,Senior,2022/2023,25,100%
,,,,2023/2024,25,100%
,,,,2024/2025,20,100%
,Presidents Cup,Male,Senior,2016,15,7%
,,,,2016/2017,15,47%
,,,,2017/2018,15,0%
,,,,2018/2019,15,0%
,,,,2019/2020,14,0%
,,,,2020/2021,40,20%
,,,,2021/2022,40,3%
,,,,2022/2023,32,100%
,,,,2023/2024,21,71%
,,,,2024/2025,8,100%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
,Third Division,Male,NULL,2024/2025,15,67%
,U18 League,Male,Youth,2017/2018,130,0%
,U19 League,Male,Senior,2015/2016,230,0%
,,,,2016/2017,219,0%
,UAE Pro League,Male,NULL,2015/2016,182,99%
,,,,2016/2017,182,99%
,,,,2017/2018,132,100%
,,,,2018/2019,182,99%
,,,,2019/2020,133,100%
,,,,2020/2021,182,99%
,,,,2021/2022,182,100%
,,,,2022/2023,182,100%
,,,,2023/2024,182,98%
,,,,2024/2025,83,100%
,Women's League,Female,NULL,2024/2025,5,100%
,Youth League,Male,Youth,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,46,0%
,,,,2024/2025,12,50%
United States,AX Soccer Tours,Male,Senior,2017/2018,2,50%
,Carolina Challenge Cup,Male,Senior,2018,6,0%
,,,,2019,5,0%
,DA Winter Showcase - Boys,Male,Senior,2019,17,65%
United States,DA Winter Showcase - Girls,Female,Senior,2019,13,62%
,Diamond Cup,Male,Senior,2017,12,0%
,ECNL Boys National Events,Male,Youth,2021,2,100%
,,,,2022,8,88%
,,,,2023,3,100%
,ECNL Girls National Events,Female,Youth,2021,4,100%
,,,,2022,10,100%
,,,,2023,4,100%
,GA Spring Showcase U15,Female,Youth,2022,73,0%
,,,,2023,78,0%
,GA Spring Showcase U16,Female,Youth,2022,82,0%
,,,,2023,78,0%
,GA Spring Showcase U17,Female,Youth,2022,84,0%
,,,,2023,84,0%
,GA Spring Showcase U19,Female,Youth,2022,49,0%
,,,,2023,58,0%
,Girls Academy U13,Female,Youth,2021/2022,673,0%
,Girls Academy U14,Female,Youth,2021/2022,722,0%
,Girls Academy U15,Female,Youth,2021/2022,714,0%
,Girls Academy U16,Female,Youth,2021/2022,712,0%
,Girls Academy U17,Female,Youth,2021/2022,709,0%
,Girls Academy U19,Female,Youth,2021/2022,700,0%
,MLS,Male,Senior,2016,357,99%
,,,,2017,391,100%
,,,,2018,408,100%
,,,,2019,421,100%
,,,,2020,273,100%
,,,,2021,472,100%
,,,,2022,489,100%
,,,,2023,521,100%
,,,,2024,522,100%
,MLS is back Tournament,Male,Senior,2020,51,100%
,MLS Next Pro,Male,Senior,2022,259,90%
,,,,2023,391,98%
,,,,2024,421,99%
,Mobile Mini Sun Cup,Male,Senior,2020,9,0%
,,,,2021,7,0%
,,,,2022,6,0%
,,,,2023,4,0%
,,,,2024,1,0%
,NAIA California Pacific Co..,Female,Youth,2024 Fall,8,0%
,NAIA Championship,Male,Youth,2023 Fall,9,0%
,NAIA Championship (W),Female,Youth,2023 Fall,8,38%
,,,,2024 Fall,2,0%
,NAIA Chicagoland Collegi..,Male,Youth,2024 Fall,12,92%
,NAIA Chicagoland Collegi..,Female,Youth,2023 Fall,14,29%
United States,NAIA Crossroads League,Male,Youth,2023 Fall,29,0%
,NAIA Crossroads League (W),Female,Youth,2023 Fall,10,40%
,,,,2024 Fall,11,0%
,NAIA Great Plains Athletic Conference (W),Female,Youth,2023 Fall,14,64%
,,,,2024 Fall,14,43%
,NAIA Heart of America At..,Male,Youth,2023 Fall,23,43%
,NAIA Heart of America Athletic Conference (W),Female,Youth,2023 Fall,13,69%
,,,,2024 Fall,13,77%
,NAIA Kansas Collegiate At..,Male,Youth,2023 Fall,30,47%
,NAIA Kansas Collegiate Athletic Conference (W),Female,Youth,2023 Fall,15,13%
,,,,2024 Fall,14,93%
,NAIA Mid-South Conferen..,Male,Youth,2023 Fall,7,14%
,NAIA Non-conference matches,Male,Youth,2023 Fall,62,53%
,,,,2024 Fall,14,93%
,NAIA Non-conference matches (W),Female,Youth,2023 Fall,39,77%
,,,,2024 Fall,34,41%
,NAIA The Sun Conference,Male,Youth,2024 Fall,11,82%
,NAIA The Sun Conference ..,Female,NULL,2024 Fall,10,0%
,NAIA Wolverine-Hoosier A..,Male,Youth,2024 Fall,13,15%
,NASL,Male,Senior,2016,190,58%
,,,,2017,131,97%
,NCAA D1 America East,Male,Youth,2019,32,0%
,,,,2021 Fall,41,100%
,,,,2021 Spring,30,100%
,,,,2022 Fall,33,100%
,,,,2023 Fall,33,100%
,,,,2024 Fall,33,97%
,NCAA D1 America East (W),Female,Youth,2021 Fall,50,92%
,,,,2021 Spring,27,67%
,,,,2022 Fall,41,98%
,,,,2023 Fall,41,100%
,,,,2024 Fall,41,100%
,NCAA D1 American Athletic,Male,Youth,2019,33,55%
,,,,2021 Fall,33,100%
,,,,2021 Spring,33,100%
,,,,2022 Fall,50,100%
,,,,2023 Fall,41,100%
,,,,2024 Fall,33,100%
,NCAA D1 American Athletic (W),Female,Youth,2019,50,0%
,,,,2021 Fall,41,90%
,,,,2021 Spring,33,79%
,,,,2022 Fall,41,100%
,,,,2023 Fall,61,100%
,,,,2024 Fall,62,98%
,NCAA D1 ASUN,Male,Youth,2019,26,0%
,,,,2021 Fall,33,100%
United States,NCAA D1 ASUN,Male,Youth,2021 Spring,24,100%
,,,,2022 Fall,41,90%
,,,,2023 Fall,33,88%
,,,,2024 Fall,33,88%
,NCAA D1 ASUN (W),Female,Youth,2021 Fall,61,89%
,,,,2021 Spring,42,60%
,,,,2022 Fall,77,96%
,,,,2023 Fall,73,96%
,,,,2024 Fall,73,97%
,NCAA D1 Atlantic 10,Male,Youth,2019,59,0%
,,,,2021 Fall,58,91%
,,,,2021 Spring,39,79%
,,,,2022 Fall,64,95%
